028,010,0,,28Ne,11300,130,,,,20,ms,1,0+,13,,1979,B-=100;B-n=12 1;B-2n=3.7 5
028,011,0,,28Na,-988,10,,,,30.5,ms,0.4,1+,13,,1969,B-=100;B-n=0.58 12
028,012,0,,28Mg,-15018.8,2,,,,20.915,h,0.009,0+,13,,1953,B-=100
028,013,0,,28Al,-16850.64,0.08,,,,2.245,m,0.005,3+,13,,1934,B-=100
028,013,8,W,28Ali,-10858.06,0.13,5992.58,0.1,,,,,0+      T=2,13,,,
028,014,0,,28Si,-21492.7943,0.0005,,,,stbl,,,0+,13,,1920,IS=92.223 19
028,014,5,,28Sir,-8951.75,0.05,12541.04,0.05,RQ,,,,(3+),13,,,
028,014,8,W,28Sii,-12176.87,0.1,9315.92,0.1,,1.5,fs,0.6,3+      T=1,13,,,
028,014,9,W,28Sij,-6265.8,1,15227,1,,,,,(0+)    T=2,13,68Mc12d,1968,A=90 11;p=10 11
028,015,0,,28P,-7147.7,1.2,,,,270.3,ms,0.5,3+,13,79Ho27d,1953,B+=100;B+p=0.0013 4;B+A=0.00086 25
028,015,8,,28Pxi,-1261,20,5887,20,p,,,,0+      T=2,13,,,
028,016,0,,28S,4070,160,,,,125,ms,10,0+,13,,1982,B+=100;B+p=20.7 19
028,017,0,,28Cl,27520#,600#,,,,,,,1+#,,,,p ?
029,009,0,,29F,40150,530,,,,2.5,ms,0.3,5/2+#,12,99Dl01d,1989,B-=100;B-n=60 40;B-2n=5#
029,010,0,,29Ne,18400,150,,,,14.7,ms,0.4,(3/2-),12,05Tr13t,1985,B-=100;B-n=28 5;B-2n=4 1
029,011,0,,29Na,2680,7,,,,44.1,ms,0.9,3/2(+#),12,95Re.Ad,1969,B-=100;B-n=25.9 23;B-2n=0#
